sample_id,station_id,lake_id,sample_date,lat,lon,chl_a,tn,tp,turbidity,conductivity
FI_00000144,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000145,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000146,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000147,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000148,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000149,10937,Nuijamaanjärvi,2023-01-10,60.95454402242739,28.56703697930222,,520.0,16.0,1.6,15.0
FI_00000150,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000151,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000152,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000153,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000154,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000155,10937,Nuijamaanjärvi,2023-02-07,60.95454402242739,28.56703697930222,,540.0,15.5,2.065,15.0
FI_00000156,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000157,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000158,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000159,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000160,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000161,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0
FI_00000162,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000163,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000164,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000165,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000166,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000167,10937,Nuijamaanjärvi,2023-04-04,60.95454402242739,28.56703697930222,3.7000000000000006,640.0,19.5,0.8400000000000002,15.5
FI_00000168,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000169,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000170,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000171,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000172,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000173,10937,Nuijamaanjärvi,2023-05-16,60.95454402242739,28.56703697930222,9.5,550.0,18.0,2.75,12.0
FI_00000174,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000175,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000176,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000177,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000178,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000179,10937,Nuijamaanjärvi,2023-06-07,60.95454402242739,28.56703697930222,6.5,585.0,14.5,2.65,12.5
FI_00000180,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000181,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000182,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000183,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000184,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000185,10937,Nuijamaanjärvi,2023-07-04,60.95454402242739,28.56703697930222,3.4,500.0,17.0,3.4500000000000006,13.0
FI_00000186,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000187,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000188,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000189,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000190,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000191,10937,Nuijamaanjärvi,2023-08-01,60.95454402242739,28.56703697930222,5.7,500.0,30.0,6.7,13.5
FI_00000192,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000193,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000194,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000195,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000196,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000197,10937,Nuijamaanjärvi,2023-09-05,60.95454402242739,28.56703697930222,6.400000000000001,295.0,48.0,4.85,14.0
FI_00000198,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000199,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000200,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000201,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000202,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000203,10937,Nuijamaanjärvi,2023-10-03,60.95454402242739,28.56703697930222,6.5,355.0,17.0,2.4,14.0
FI_00000204,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000205,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000206,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000207,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000208,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000209,10937,Nuijamaanjärvi,2023-11-01,60.95454402242739,28.56703697930222,,440.0,17.0,2.7999999999999994,14.0
FI_00000210,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000211,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000212,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000213,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000214,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000215,10937,Nuijamaanjärvi,2023-12-12,60.95454402242739,28.56703697930222,,550.0,18.5,2.9,14.0
FI_00000216,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000217,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000218,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000219,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000220,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000221,10937,Nuijamaanjärvi,2024-01-10,60.95454402242739,28.56703697930222,,605.0,18.0,2.4,17.0
FI_00000222,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000223,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000224,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000225,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000226,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000227,10937,Nuijamaanjärvi,2024-02-06,60.95454402242739,28.56703697930222,,605.0,17.0,1.9,18.0
FI_00000228,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000229,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000230,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000231,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000232,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000233,10937,Nuijamaanjärvi,2024-03-05,60.95454402242739,28.56703697930222,,605.0,21.5,2.25,18.5
FI_00000234,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000235,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000236,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000237,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000238,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000239,10937,Nuijamaanjärvi,2024-04-02,60.95454402242739,28.56703697930222,11.0,605.0,24.0,3.0,16.0
FI_00000240,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
FI_00000241,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
FI_00000242,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
FI_00000243,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
FI_00000244,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
FI_00000245,10937,Nuijamaanjärvi,2024-05-07,60.95454402242739,28.56703697930222,4.2,635.0,21.5,4.1000000000000005,13.0
